CourseID,CourseCategory,CourseType,CourseLevel,CourseRating
C0001,Web Development,Video,Advanced,3.2
C0002,Design,Text,Advanced,2.8
C0003,Web Development,Live,Beginner,2.6
C0004,Design,Text,Advanced,4.0
C0005,Design,Live,Beginner,3.6
C0006,Marketing,Video,Beginner,4.2
C0007,Cybersecurity,Interactive,Beginner,3.0
C0008,Cybersecurity,Video,Beginner,3.4
C0009,Cybersecurity,Interactive,Advanced,3.2
C0010,Data Science,Live,Advanced,2.8
C0011,AI/ML,Video,Advanced,3.2
C0012,Cybersecurity,Text,Advanced,2.7
C0013,Design,Interactive,Beginner,4.6
C0014,Web Development,Live,Intermediate,3.6
C0015,Cybersecurity,Text,Intermediate,3.4
C0016,Marketing,Video,Advanced,4.1
C0017,Design,Text,Intermediate,3.4
C0018,Design,Interactive,Beginner,3.1
C0019,Data Science,Interactive,Intermediate,3.2
C0020,Design,Interactive,Beginner,4.1
C0021,AI/ML,Live,Beginner,3.2
C0022,Design,Interactive,Advanced,4.0
C0023,AI/ML,Interactive,Beginner,5.0
C0024,Business,Live,Beginner,4.4
C0025,Web Development,Text,Advanced,2.9
C0026,AI/ML,Video,Intermediate,3.5
C0027,Finance,Interactive,Advanced,4.7
C0028,Data Science,Video,Advanced,4.7
C0029,Marketing,Interactive,Beginner,3.2
C0030,Business,Live,Beginner,4.9
C0031,Marketing,Text,Advanced,4.8
C0032,Marketing,Text,Beginner,3.4
C0033,Business,Video,Advanced,3.3
C0034,Data Science,Video,Intermediate,4.7
C0035,Marketing,Text,Beginner,3.1
C0036,Web Development,Video,Advanced,3.7
C0037,Web Development,Text,Beginner,4.1
C0038,Business,Interactive,Advanced,4.7
C0039,AI/ML,Text,Advanced,4.4
C0040,Design,Interactive,Intermediate,5.0
C0041,Cybersecurity,Live,Advanced,3.6
C0042,Design,Text,Beginner,3.3
C0043,Design,Text,Beginner,2.7
C0044,Data Science,Text,Beginner,4.8
C0045,Cybersecurity,Video,Advanced,3.1
C0046,Finance,Text,Advanced,2.8
C0047,Finance,Text,Intermediate,4.5
C0048,Design,Video,Beginner,4.1
C0049,Cybersecurity,Live,Intermediate,3.7
