UserID,total_courses_enrolled,enrollment_frequency,total_spending,avg_spending_per_course,preferred_category,category_diversity,preferred_level,avg_course_rating_enrolled,learning_depth_index,Age,Gender,preferred_category_enc,preferred_level_enc,gender_enc,Cluster,HC_Cluster
U00001,2,2,220.35000000000002,110.17500000000001,Business,2,Beginner,4.2,0.0,15,Male,1,1,1,2,2
U00002,4,4,420.09000000000003,105.02250000000001,AI/ML,2,Advanced,3.55,0.6666666666666666,29,Female,0,0,0,3,0
U00003,2,2,239.7,119.85,AI/ML,1,Intermediate,4.75,0.0,33,Female,0,2,0,0,0
U00004,2,2,361.7,180.85,Data Science,2,Beginner,3.55,0.0,23,Female,3,1,0,0,0
U00005,4,4,145.34,36.335,Business,4,Advanced,3.375,1.0,21,Male,1,0,1,2,2
U00006,2,2,184.87,92.435,AI/ML,2,Advanced,4.95,1.0,21,Male,0,0,1,2,2
U00007,4,4,505.72,126.43,Business,4,Advanced,3.425,1.0,24,Male,1,0,1,3,2
U00008,6,6,789.98,131.66333333333333,Cybersecurity,4,Advanced,4.033333333333333,1.5,33,Female,2,0,0,1,0
U00009,7,7,875.06,125.00857142857141,AI/ML,7,Advanced,3.1285714285714286,2.0,20,Female,0,0,0,1,0
U00010,4,4,401.36,100.34,Design,3,Advanced,3.875,3.0,34,Female,4,0,0,3,3
U00011,4,4,499.33,124.8325,AI/ML,4,Intermediate,3.9250000000000003,0.5,15,Female,0,2,0,0,0
U00012,3,3,413.38,137.79333333333332,Data Science,3,Beginner,3.0666666666666664,0.0,15,Female,3,1,0,0,0
U00013,3,3,209.68,69.89333333333333,Cybersecurity,3,Beginner,4.233333333333333,0.0,33,Female,2,1,0,2,1
U00014,3,3,279.84000000000003,93.28000000000002,Business,3,Intermediate,3.3666666666666667,0.0,30,Male,1,2,1,0,2
U00015,3,3,358.43,119.47666666666667,Cybersecurity,3,Advanced,3.8333333333333335,1.0,27,Female,2,0,0,3,1
U00016,4,4,551.73,137.9325,Cybersecurity,4,Beginner,3.6999999999999997,0.25,32,Male,2,1,1,0,2
U00017,4,3,322.16,80.54,Cybersecurity,4,Advanced,3.575,1.0,24,Male,2,0,1,3,2
U00018,5,5,669.05,133.81,Web Development,4,Intermediate,3.5,0.5,24,Female,7,2,0,1,0
U00019,2,2,261.82,130.91,Design,2,Advanced,3.3,0.5,24,Female,4,0,0,3,1
U00020,6,6,799.52,133.25333333333333,AI/ML,5,Advanced,3.9166666666666665,1.5,27,Female,0,0,0,1,0
U00021,6,6,565.78,94.29666666666667,Design,4,Beginner,3.75,0.0,15,Male,4,1,1,1,2
U00022,4,4,332.88,83.22,Cybersecurity,4,Advanced,4.3,1.0,31,Male,2,0,1,3,2
U00023,4,4,352.33,88.0825,Cybersecurity,3,Intermediate,3.025,1.0,32,Male,2,2,1,0,2
U00024,7,7,907.28,129.61142857142858,Data Science,6,Advanced,3.585714285714286,1.0,18,Female,3,0,0,1,0
U00025,7,7,556.72,79.53142857142858,Cybersecurity,5,Intermediate,3.957142857142857,0.6666666666666666,34,Male,2,2,1,1,2
U00026,4,4,375.16,93.79,AI/ML,4,Beginner,4.05,0.25,19,Male,0,1,1,0,2
U00027,3,3,303.09,101.02999999999999,Business,2,Advanced,4.2,2.0,31,Male,1,0,1,3,3
U00028,2,2,120.74,60.37,Cybersecurity,2,Beginner,3.8,0.0,30,Female,2,1,0,2,1
U00029,1,1,25.35,25.35,Marketing,1,Intermediate,4.8,0.0,30,Male,6,2,1,2,1
U00030,3,3,282.71000000000004,94.23666666666668,Business,3,Beginner,4.0,0.0,34,Male,1,1,1,0,2
U00031,3,3,245.13,81.71,Cybersecurity,2,Advanced,3.3000000000000003,0.5,30,Male,2,0,1,2,1
U00032,4,4,234.74,58.685,Data Science,3,Advanced,3.8,3.0,18,Male,3,0,1,3,3
U00033,3,3,272.26,90.75333333333333,Cybersecurity,3,Beginner,3.4333333333333336,0.3333333333333333,25,Male,2,1,1,0,2
U00034,3,3,405.71999999999997,135.23999999999998,AI/ML,3,Beginner,4.266666666666667,0.3333333333333333,32,Female,0,1,0,0,0
U00035,6,6,607.74,101.29,Business,4,Advanced,3.5500000000000003,0.6666666666666666,32,Male,1,0,1,1,2
U00036,2,2,302.59,151.295,Marketing,2,Advanced,4.7,0.5,24,Female,6,0,0,2,1
U00037,4,4,618.02,154.505,Business,4,Intermediate,3.325,0.0,31,Female,1,2,0,0,0
U00038,2,2,300.79999999999995,150.39999999999998,Cybersecurity,2,Beginner,3.75,0.0,35,Male,2,1,1,0,2
U00039,3,3,406.56,135.52,Business,3,Beginner,4.6000000000000005,0.0,16,Female,1,1,0,0,1
U00040,4,4,331.86,82.965,Business,4,Beginner,3.725,0.0,15,Male,1,1,1,0,2
U00041,6,6,704.7,117.45,Web Development,4,Beginner,3.7166666666666663,0.2,19,Female,7,1,0,1,0
U00042,4,4,237.57999999999998,59.394999999999996,Design,3,Advanced,4.05,2.0,32,Male,4,0,1,3,3
U00043,3,3,318.95,106.31666666666666,AI/ML,2,Beginner,3.8333333333333335,0.3333333333333333,31,Male,0,1,1,0,2
U00044,4,4,409.05,102.2625,Cybersecurity,3,Advanced,3.5999999999999996,2.0,19,Male,2,0,1,3,2
U00045,1,1,35.14,35.14,Marketing,1,Intermediate,3.8,0.0,23,Female,6,2,0,2,1
U00046,3,3,268.33,89.44333333333333,Finance,2,Advanced,3.5666666666666664,0.5,29,Female,5,0,0,2,1
U00047,4,4,279.8,69.95,Design,3,Advanced,3.85,0.6666666666666666,34,Male,4,0,1,3,1
U00048,7,7,426.14,60.87714285714286,AI/ML,5,Beginner,3.7142857142857144,0.5,19,Male,0,1,1,1,2
U00049,5,5,329.91999999999996,65.984,AI/ML,5,Advanced,4.5200000000000005,0.6666666666666666,32,Male,0,0,1,1,2
U00050,5,5,394.87,78.974,Web Development,3,Intermediate,3.6199999999999997,1.0,33,Male,7,2,1,0,2
U00051,5,5,318.98,63.79600000000001,Cybersecurity,3,Intermediate,3.5,1.0,32,Female,2,2,0,0,0
U00052,4,4,345.02,86.255,AI/ML,3,Advanced,3.7750000000000004,0.6666666666666666,25,Female,0,0,0,3,0
U00053,6,6,638.34,106.39,Cybersecurity,4,Advanced,3.9499999999999997,4.0,34,Female,2,0,0,3,3
U00054,2,2,124.77000000000001,62.385000000000005,AI/ML,2,Advanced,4.3,1.0,22,Female,0,0,0,2,1
U00055,3,3,219.25,73.08333333333333,Business,3,Beginner,3.3666666666666667,0.3333333333333333,31,Female,1,1,0,0,1
U00056,3,3,325.16999999999996,108.38999999999999,Marketing,2,Beginner,3.9333333333333336,0.0,22,Female,6,1,0,0,0
U00057,4,4,485.90999999999997,121.47749999999999,AI/ML,4,Advanced,3.475,2.0,18,Male,0,0,1,3,2
U00058,2,2,69.39,34.695,Cybersecurity,2,Advanced,3.8,0.5,30,Female,2,0,0,2,1
U00059,3,3,349.85,116.61666666666667,AI/ML,3,Intermediate,3.9,1.0,32,Male,0,2,1,0,2
U00060,4,4,554.49,138.6225,Design,3,Beginner,4.2,0.3333333333333333,26,Male,4,1,1,0,2
U00061,4,4,363.04999999999995,90.76249999999999,Data Science,4,Advanced,4.15,2.0,32,Female,3,0,0,3,3
U00062,7,7,816.09,116.58428571428571,Cybersecurity,6,Advanced,3.7857142857142856,4.0,28,Female,2,0,0,1,3
U00063,6,6,482.68,80.44666666666667,Design,5,Advanced,3.6333333333333333,1.3333333333333333,34,Female,4,0,0,1,0
U00064,3,3,298.64,99.54666666666667,AI/ML,2,Advanced,3.766666666666667,0.5,33,Female,0,0,0,3,0
U00065,2,2,290.98,145.49,Data Science,2,Advanced,3.0,0.5,29,Male,3,0,1,3,1
U00066,4,4,413.66999999999996,103.41749999999999,Design,3,Beginner,3.15,0.3333333333333333,26,Female,4,1,0,0,0
U00067,3,3,386.55,128.85,Business,3,Beginner,3.5666666666666664,0.3333333333333333,28,Female,1,1,0,0,0
