UserID,CourseID,TransactionDate,Amount
U00001,C0106,2024-05-22,57.64
U00001,C0178,2024-02-15,162.71
U00002,C0117,2023-11-28,23.18
U00002,C0023,2024-02-18,172.98
U00002,C0081,2023-01-02,131.53
U00002,C0065,2024-07-09,92.4
U00003,C0133,2024-09-29,151.29
U00003,C0093,2024-10-02,88.41
U00004,C0069,2023-05-15,185.53
U00004,C0141,2024-03-24,176.17
U00005,C0008,2024-12-27,31.68
U00005,C0162,2024-07-18,2.73
U00005,C0156,2024-02-22,18.64
U00005,C0062,2023-04-27,92.29
U00006,C0040,2023-10-26,101.77
U00006,C0128,2023-10-07,83.1
U00007,C0121,2023-05-29,76.72
U00007,C0063,2024-09-05,101.65
U00007,C0117,2023-05-20,172.81
U00007,C0142,2023-10-10,154.54
U00008,C0088,2023-11-02,167.5
U00008,C0130,2024-08-16,199.78
U00008,C0069,2024-05-16,173.05
U00008,C0001,2024-04-02,107.72
U00008,C0073,2023-12-20,66.49
U00008,C0186,2024-07-10,75.44
U00009,C0049,2024-02-25,8.73
U00009,C0179,2024-04-29,141.05
U00009,C0062,2024-01-26,77.22
U00009,C0147,2024-11-10,158.48
U00009,C0099,2024-10-29,196.16
U00009,C0060,2024-05-22,192.96
U00009,C0199,2023-05-10,100.46
U00010,C0026,2023-01-16,144.49
U00010,C0113,2024-02-24,174.19
U00010,C0135,2023-06-08,14.97
U00010,C0117,2023-09-29,67.71
U00011,C0167,2024-06-30,76.0
U00011,C0021,2023-11-21,125.36
U00011,C0085,2024-05-14,174.48
U00011,C0173,2023-02-06,123.49
U00012,C0176,2023-04-03,86.79
U00012,C0074,2023-04-11,152.07
U00012,C0059,2024-12-21,174.52
U00013,C0178,2023-02-17,64.87
U00013,C0077,2023-02-27,58.67
U00013,C0008,2024-01-19,86.14
U00014,C0106,2023-07-04,34.0
U00014,C0145,2023-03-22,121.9
U00014,C0175,2024-01-27,123.94
U00015,C0150,2024-04-17,127.58
U00015,C0037,2024-04-15,51.07
U00015,C0060,2023-01-10,179.78
U00016,C0074,2023-03-17,88.35
U00016,C0174,2023-12-20,197.53
U00016,C0140,2023-11-03,127.79
U00016,C0041,2024-03-10,138.06
U00017,C0078,2023-04-20,47.44
U00017,C0051,2024-08-08,71.79
U00017,C0099,2023-10-30,198.54
U00017,C0124,2023-10-30,4.39
U00018,C0102,2023-02-20,182.12
U00018,C0071,2024-05-23,166.57
U00018,C0003,2023-10-21,155.15
U00018,C0145,2023-08-24,121.41
U00018,C0176,2023-12-27,43.8
U00019,C0065,2024-11-06,136.17
U00019,C0174,2023-05-21,125.65
U00020,C0166,2024-01-09,146.47
U00020,C0011,2023-04-03,181.93
U00020,C0080,2023-12-01,149.5
U00020,C0113,2023-06-29,40.16
U00020,C0009,2024-07-06,175.29
U00020,C0149,2024-01-10,106.17
U00021,C0043,2023-04-28,93.67
U00021,C0066,2023-03-19,28.15
U00021,C0124,2023-08-20,172.03
U00021,C0076,2024-11-21,195.99
U00021,C0192,2024-07-24,73.16
U00021,C0087,2024-02-09,2.78
U00022,C0117,2024-11-19,52.43
U00022,C0095,2024-01-26,164.48
U00022,C0173,2024-01-16,21.67
U00022,C0192,2023-08-28,94.3
U00023,C0144,2024-10-25,12.64
U00023,C0084,2024-04-20,181.88
U00023,C0157,2023-11-06,129.85
U00023,C0057,2023-04-30,27.96
U00024,C0078,2024-02-02,90.73
U00024,C0127,2024-11-17,189.88
U00024,C0030,2024-12-14,189.19
U00024,C0025,2024-03-05,117.47
U00024,C0061,2023-06-08,177.08
U00024,C0138,2024-11-01,19.8
U00024,C0035,2024-05-16,123.13
U00025,C0072,2024-01-07,19.87
U00025,C0009,2024-12-03,73.47
U00025,C0177,2024-10-22,71.73
U00025,C0095,2024-02-12,55.18
U00025,C0056,2023-05-06,189.8
U00025,C0114,2024-04-10,18.33
U00025,C0061,2023-08-06,128.34
U00026,C0006,2023-05-09,157.4
U00026,C0013,2023-07-30,13.72
U00026,C0086,2024-07-21,41.43
U00026,C0063,2023-08-10,162.61
U00027,C0199,2023-01-03,55.45
